,collocation,translate
53961,datastream,数据流
53962,ichor,Ichor
53963,formula-fed,公式-FED
53964,neatnik,整洁
53965,quasi-legal,准合法
53966,massacred,惨遭屠杀
53967,new-old,新旧
53968,abasement,屈辱
53969,wishfully,一厢情愿的
53970,unassertive,优柔寡断
53971,steel,钢
53972,cheap-looking,看起来很便宜
53973,corpulence,肥胖症
53974,hitchcockian,希区柯克学派
53975,bronze-colored,古铜色
53976,buffoonish,滑稽的
53977,commandeered,征用
53978,five-and-dime,五角五角硬币
53979,unenforced,未强制执行
53980,boutonniere,布托尼耶
53981,diminuendo,渐弱
53982,cramming,临时抱佛脚
53983,sun-scorched,被烈日灼伤
53984,unhealthily,不健康的
53985,skidding,打滑
53986,pari-mutuel,双人套餐
53987,polyhedron,多面体
53988,heterodiegetic,HETERODIEGETIC
53989,pasting,粘贴
53990,conjunctiva,结膜
53991,second-wave,第二波
53992,ikat,IKAT
53993,scrimshaw,斯克里姆肖
53994,yod,Yod
53995,double-layer,双层
53996,surrendered,投降
53997,state-appointed,国家任命的
53998,low-brow,低眉毛
53999,betraying,背叛
54000,forty-hour,40小时
54001,six-piece,六件套
54002,emotion-laden,充满情感的人
54003,french-canadian,法裔加拿大人
54004,lemon-scented,柠檬香味
54005,renegotiated,重新协商
54006,powerful-looking,看起来很有力量
54007,hair-pulling,扣人心弦
54008,photosynthesize,光合作用
54009,beetroot,甜菜根
54010,moment-by-moment,点点滴滴
54011,peaty,豌豆
54012,unexpectedness,意想不到
54013,disarrange,无序排列
54014,galumph,口香糖
54015,cold-storage,冷藏
54016,bat-like,像蝙蝠一样
54017,government-industry,政府--工业
54018,contrariness,对立性
54019,vault-like,类似于保险库
54020,unworked,未加工
54021,innovativeness,创新能力
54022,long-accepted,长期被接受的
54023,grandstanding,哗众取宠
54024,life-prolonging,延年益寿
54025,blah-blah-blah,废话，废话
54026,nervous-system,神经系统
54027,cribriform,筛状
54028,molded-in,模压成型
54029,team-based,以团队为基础
54030,omerta,奥莫尔塔
54031,ashkenazic,德系德意志人
54032,context-dependent,上下文相关
54033,by-your-leave,请假前请便
54034,overpainting,涂装
54035,sweatband,汗带
54036,crack-addicted,吸毒成瘾
54037,ported,端口
54038,romanticist,浪漫主义者
54039,adult-child,成人-儿童
54040,rain-streaked,被雨淋透了
54041,deportable,可驱逐出境
54042,sea-surface,海面
54043,telekinesis,心灵感应
54044,bellflower,风铃花
54045,won-loss,输赢
54046,aquavit,Aquavit
54047,insurgence,叛乱
54048,deciphering,破译
54049,pulsating,脉动
54050,flaunting,炫耀
54051,prioress,女院长
54052,affordable-housing,经济适用房
54053,state-ofthe-art,最先进的
54054,unshelled,无壳的
54055,pastness,牧场
54056,one-fifty,1比50
54057,footsie,足音
54058,superstring,超串
54059,cross-racial,跨种族
54060,anti-fraud,反欺诈
54061,man-size,人体尺寸
54062,zirconia,氧化锆石
54063,paisano,派萨诺
54064,catmint,薄荷
54065,democratized,民主化
54066,ripcord,裂开绳索
54067,pinole,皮诺尔
54068,dactyl,达克尔语
54069,papier-mch,纸浆--MCH
54070,local-scale,本地规模
54071,knowledge-intensive,知识密集型
54072,high-need,高需求
54073,diamond-like,像钻石一样
54074,past-tense,过去式
54075,supernatant,上清液
54076,(tallis),(塔利斯)
54077,protist,原生生物
54078,price-level,价格水平
54079,panhandling,乞讨
54080,kafir,卡菲尔
54081,spliff,拼接
54082,electrostatically,静电地
54083,ungendered,不分性别
54084,limited-entry,限入门票
54085,passionflower,西番莲
54086,printhead,打印头
54087,samsara,轮回
54088,liverwurst,肝脏香肠
54089,bi-level,双级
54090,quire,奎尔
54091,personal-best,个人最好成绩
54092,undecidable,无法决定
54093,chieftainship,酋长职位
54094,cedar-lined,雪松衬里
54095,unhistorical,非历史的
54096,beauty-supply,美容用品
54097,mayorship,担任市长职务
54098,americium,Am
54099,instillation,灌输
54100,expropriated,被征用
54101,long-repressed,长期被压抑
54102,freebooter,免费启动程序
54103,burin,燃烧
54104,yttrium,稀土元素Y
54105,drop-leaf,落叶
54106,nonroutine,非常规
54107,appreciating,欣赏
54108,livelong,活得很长
54109,slo-mo,SLO-MO
54110,airsick,晕机
54111,self-deceptive,自欺欺人
54112,skin-cancer,皮肤癌
54113,revery,梦幻
54114,fuel-air,燃料--空气
54115,cotyledon,子叶
54116,world-record,--世界纪录
54117,megaplex,巨型建筑群
54118,clear-sighted,视线清晰
54119,neodymium,Nd3+
54120,plane,飞机
54121,terrorism-related,与恐怖主义有关
54122,specifiable,可指定
54123,wind-resistant,抗风
54124,dasher,Dasher
54125,undersize,小号
54126,croat-muslim,克族-穆斯林
54127,(loonie),(卢尼)
54128,grieved,悲痛的
54129,queerly,怪异的
54130,techy,技术
54131,disrespected,不受尊重
54132,knurled,滚花的
54133,mulish,穆里什
54134,pre-verbal,口语前
54135,forest-dwelling,森林民居
54136,bandy-legged,双腿打结
54137,inexpertly,不熟练地
54138,gothic-style,哥特式风格
54139,welling,涌出
54140,long-wave,长波
54141,misfeasance,不当行为
54142,father-figure,父亲的形象
54143,uncolored,未上色
54144,impacting,影响
54145,rekindling,重新点燃
54146,razor-wire,铁丝网
54147,brobdingnagian,布洛丁纳吉安
54148,mind-numbingly,头脑麻木
54149,swan,天鹅
54150,creepiness,阴森恐怖
54151,complaisant,温顺的
54152,all-business,全业务
54153,husbandman,农夫
54154,irrelevantly,无关紧要
54155,exhibitionistic,表露癖
54156,slimness,苗条
54157,lower-density,低密度
54158,godlessness,无神之心
54159,spiritedly,精神饱满地
54160,downstage,前台
54161,unadventurous,不敢冒险
54162,tobacco-stained,沾了烟的
54163,diamond-encrusted,镶满钻石的
54164,unshielded,无屏蔽
54165,soup-to-nuts,从汤到坚果
54166,group-level,集团级别
54167,satori,萨多利
54168,self-governance,自治
54169,europeanization,欧洲化
54170,rebelliously,叛逆地
54171,dissembling,伪装
54172,shined,闪闪发光
54173,purple-black,紫黑色
54174,bacchanalian,酒后狂欢
54175,repackaged,重新打包
54176,near-future,不久的将来
54177,adulatory,奉承
54178,get-out-of-jail-free,逃脱牢狱之灾
54179,brick-paved,砖砌的
54180,two-day-old,两天大的婴儿
54181,quarantining,隔离
54182,u-shape,U形
54183,waxwork,蜡像
54184,moppet,拖把
54185,rotgut,烂肠子
54186,eagle-eyed,鹰眼
54187,anti-static,防静电
54188,grammar-school,文法学校
54189,euphonious,悦耳的
54190,familar,熟悉
54191,six-week-old,六周大
54192,self-admitted,自费
54193,biggest-ever,有史以来最大的
54194,whitewashing,粉饰
54195,gathering,正在收集
54196,low-yielding,低产
54197,cutting-room,裁剪间
54198,nebbish,下流的
54199,clangor,叮当作响
54200,guarding,守卫
54201,ten-inch,十英寸
54202,consumed,消耗
54203,dead-on,切中要害
54204,fecklessness,无能
54205,fuddy-duddy,Fuddy-Duddy
54206,win-win-win,双赢-双赢
54207,safeguarding,保障
54208,going-over,正在进行检查
54209,divested,剥离
54210,dance-like,像跳舞一样
54211,prizefight,职业拳击赛
54212,yup,是的
54213,reclaiming,回收利用
54214,mucilage,粘胶
54215,apoptotic,凋亡性
54216,urticaria,[医]麻疹
54217,tagliatelle,意式干面
54218,snapping,捕捉
54219,blaring,大声喧哗
54220,ephemeris,星历
54221,pleurisy,胸膜炎
54222,aeolian,风沙
54223,brain-based,以脑为本
54224,anti-piracy,反盗版
54225,dolphin-safe,海豚--安全
54226,socioreligious,社会宗教性
54227,summer-league,夏季联赛
54228,pycnogenol,碧萝卜素
54229,liquid-fuel,液体燃料
54230,stableman,马夫
54231,interquartile,四分位数间
54232,adduction,引证
54233,intraoral,口腔内
54234,recirculating,再循环
54235,no-haggle,不讨价还价
54236,brain-injured,脑部损伤
54237,skyhook,天钩
54238,relapsing-remitting,复发--缓解
54239,fifty-fifth,55分
54240,lost-and-found,失物招领处
54241,nourished,滋养的
54242,depositary,托管人
54243,term-limits,任期限制
54244,fado,法多
54245,anti-woman,反女性
54246,bundler,捆绑者
54247,(playland),(Playland)
54248,boat-building,造船
54249,iterated,已迭代
54250,monetarism,货币主义
54251,qigong,气功
54252,off-world,异国他乡
54253,vagabond,流浪者
54254,symptomatically,有症状地
54255,blow-dry,吹干
54256,by-the-glass,玻璃杯旁
54257,sunward,朝阳
54258,(wintergreen),(冬青)
54259,bris,BRIS
54260,immunoassay,免疫分析
54261,extra-parliamentary,议会外
54262,electron-positron,电子-正电子
54263,equably,平均地
54264,voluntaristic,意志主义
54265,white-minority,白人--少数民族
54266,(freestone),(弗里斯通)
54267,fisherwoman,女渔夫
54268,wood-grain,木纹
54269,moon-faced,长着月亮的脸
54270,nuh-uh,不--UH
54271,neckwear,领带
54272,spruce,云杉
54273,sloshing,晃动
54274,exculpation,开脱罪责
54275,solid-fuel,固体燃料
54276,grass,草
54277,self-funded,自筹资金
54278,rasher,RASHER
54279,(decker),(德克尔)
54280,cherry-picking,采摘樱桃
54281,quieten,静音
54282,camel-hair,骆驼毛
54283,earth-colored,土色
54284,expressionist,表现主义
54285,heart-related,心脏相关
54286,lectureship,讲学生涯
54287,moon-shaped,月形
54288,gunk,粘糊糊的
54289,(solon),(索伦)
54290,head-butting,头部撞击
54291,temperature-sensitive,温度敏感型
54292,adventuress,女冒险家
54293,lower-profile,低调
54294,palatability,适口性
54295,reline,重排
54296,apartness,孤立性
54297,queasily,夸张的
54298,hypercritical,超临界
54299,underwhelming,平淡无奇
54300,outpoint,外点
54301,shinbone,胫骨
54302,injury-riddled,伤痕累累
54303,hand-dipped,手工浸渍
54304,christ-centered,以基督为中心
54305,high-mindedness,高尚的头脑
54306,growling,咆哮
54307,single-seat,单座
54308,neo-scholastic,新学术派
54309,zidovudine,齐多夫定
54310,quietist,安静主义者
54311,dybbuk,迪布克
54312,jacobite,雅各布
54313,arnica,山金车
54314,adjudicative,裁判性
54315,compensable,可补偿的
54316,disbanded,解散
54317,straw-like,稻草状
54318,practical-minded,务实的头脑
54319,conscienceless,没有良知
54320,regurgitated,反胃
54321,old-looking,面容苍老
54322,no-hassle,没有麻烦
54323,pension,养老金
54324,waspish,狡猾的
54325,sickle-shaped,镰刀形
54326,weak-willed,意志薄弱
54327,soot-covered,满身煤烟
54328,adamantine,坚固的
54329,penny-wise,精打细算
54330,non-urgent,非紧急
54331,buildable,可建造的
54332,green-painted,绿色油漆
54333,joyfulness,快乐
54334,vulgarization,庸俗化
54335,reissued,重新发行
54336,sandy-colored,沙色
54337,disparaged,被贬低
54338,northwards,向北
54339,human-size,真人大小
54340,subversively,颠覆性地
54341,succulence,肉质
54342,giant-screen,巨幕
54343,high-sounding,冠冕堂皇
54344,seediness,有籽粒
54345,sloe-eyed,懒散的眼神
54346,maidenly,处女式
54347,far-distant,遥远的
54348,straight-shooting,直射
54349,emollient,润肤剂
54350,five-plus,五加
54351,footgear,鞋类装备
54352,human-scale,人的尺度
54353,snooper,窥探者
54354,ambrosial,安罗西林
54355,soft-shoe,软鞋
54356,giant-sized,巨型
54357,broadness,广度
54358,well-schooled,受过良好教育
54359,half-crazed,半疯了
54360,log-cabin,原木小屋
54361,toxemia,毒血症
54362,late-in-life,晚年
54363,sixty-second,六十二秒
54364,fast-expanding,快速扩张
54365,baseball-size,棒球大小
54366,jocularly,开玩笑地
54367,sing-songy,SING-Songy
54368,jailbreak,越狱
54369,engulfing,吞没
54370,lower-ranked,排名较低
54371,fifty-second,五十二秒
54372,catechize,问答
54373,steepled,尖顶的
54374,below-zero,零下
54375,dressing-down,斥责
54376,umbrian,翁布里亚语
54377,wooly,有毛的
54378,dextrose,葡萄糖
54379,near-field,近场
54380,typographer,排字工人
54381,rheostat,变阻器
54382,polish-jewish,波兰籍犹太人
54383,watchband,表带
54384,stabilizing,正在稳定化
54385,hemostatic,止血药
54386,solvent-based,溶剂型
54387,charcuterie,查尔特里
54388,airshaft,风井
54389,content-oriented,内容导向
54390,doll-size,玩偶大小
54391,southeastward,向东南方向
54392,dopant,掺杂
54393,stemwinder,茎干缠绕
54394,long-expected,期待已久的
54395,cioppino,意式海鲜汤
54396,amanuensis,阿马努伊斯
54397,myocyte,肌细胞
54398,sled-dog,雪橇狗
54399,straight-leg,直腿
54400,capelin,卡佩林
54401,stumping,站稳脚跟
54402,championship-caliber,冠军级水准
54403,close-ended,封闭式
54404,davidic,戴维迪奇
54405,mortise,插眼
54406,medium-term,中期
54407,recharging,充电
54408,lock-up,锁定
54409,bottlebrush,瓶刷
54410,theocentric,心心说
54411,fourth-and-one,第四名和第一名
54412,matter-antimatter,物质-反物质
54413,theretofore,在此之前
54414,final-status,最终状态
54415,cross-class,跨类
54416,makeable,可制造的
54417,gay-straight,同性恋-异性恋
54418,lymphatic,淋巴
54419,chekhovian,契诃夫式
54420,post-totalitarian,后极权主义
54421,politico-cultural,政治文化
54422,religio-political,宗教--政治
54423,propolis,蜂胶
54424,epidermoid,表皮样
54425,wild-type,野生型
54426,dual-fuel,双燃料
54427,left-turn,左转
54428,folk-music,民间音乐
54429,less-is-more,少即是多
54430,flattish,扁平
54431,utilitarian,功利主义
54432,eleventh-grade,十一年级
54433,fanlight,风扇灯
54434,quadrille,四重奏
54435,rain-slick,雨滑
54436,anthurium,红掌
54437,mineshaft,矿井
54438,alt-rock,另类摇滚
54439,administering,管理
54440,brightly-lit,灯光明亮
54441,paint-spattered,溅上了油漆
54442,nonpartisanship,无党派
54443,punchbowl,平底锅
54444,left-brain,左脑
54445,lambskin,小羊皮
54446,gobbling,狼吞虎咽
54447,scuffling,扭打
54448,aaaah,啊啊
54449,african-american-owned,非裔美国人拥有
54450,bronzy,古铜色
54451,carfare,车费
54452,convexity,凸性
54453,house-brand,自有品牌
54454,portuguese-speaking,葡萄牙语
54455,fly-fisherman,飞鱼人
54456,cherry-wood,樱桃木
54457,purl,PUL
54458,orthopaedics,骨科
54459,sinusoid,正弦波
54460,(pudge),(布丁)
54461,roosted,栖息
54462,overexpression,过度表达
54463,fauvism,野兽派
54464,dural,硬脑膜
54465,content-area,内容-区域
54466,prepositional,介词
54467,(hemming),(海明)
54468,non-participant,非参与者
54469,solar-cell,太阳能电池
54470,bedframe,床架
54471,fore-and-aft,纵向和纵向
54472,hydrolyzed,水解物
54473,two-hit,两支安打
54474,leftfield,左场
54475,centering,居中
54476,hosel,软管
54477,bairn,贝恩
54478,air-launched,空中发射
54479,informed-consent,知情同意
54480,angiotensin,血管紧张素
54481,british-made,英国制造
54482,busman,巴士司机
54483,one-thirtieth,1/30
54484,race-baiting,种族诱饵
54485,spiderlike,像蜘蛛一样
54486,red-velvet,红天鹅绒
54487,five-passenger,五名乘客
54488,hod,外壳
54489,limey,石灰岩
54490,movie-theater,电影院
54491,tastelessness,没品味
54492,obsessive,强迫症
54493,villainess,恶棍
54494,dirtiness,肮脏
54495,mewing,喵喵叫
54496,transiently,暂时性的
54497,three-pack,三盒装
54498,manageability,可管理性
54499,high-stepping,高步舞步
54500,walloping,猛烈抨击
54501,rhumba,伦巴舞曲
54502,delusive,妄想症
54503,fast-lane,快车道
54504,climate-control,气候控制
54505,sanctimoniously,装模作样
54506,impassible,不可能的
54507,clutter-free,整齐整洁
54508,pertly,直截了当
54509,artlessly,天真烂漫
54510,clavier,克拉维尔
54511,pinch-hitting,夹击
54512,equable,可均衡的
54513,baddie,坏人
54514,encircled,带圈的
54515,fresh-caught,新鲜捕获的鱼
54516,all-too-brief,太简短了
54517,fleshed-out,充实的
54518,sixty-fifth,六十五
54519,smacking,打人耳光
54520,disport,驱逐出境
54521,ceramicist,陶艺家
54522,slavering,垂涎三尺
54523,well-tanned,晒得很黑
54524,ever-deepening,不断深化
54525,vest-pocket,背心口袋
54526,life-drawing,生平写生
54527,polyrhythmic,多节律
54528,dark-suited,深色西装
54529,much-used,使用率高
54530,three-martini,三杯马提尼
54531,higher-margin,利润率更高
54532,unmounted,已卸载
54533,appointive,任命性
54534,chugging,咯咯地笑着
54535,slimeball,粘稠的球
54536,scrunch,嘎吱作响
54537,fortune-telling,算命
54538,re-imagining,重新想象
54539,intersexual,双性人
54540,hidden-camera,隐藏摄像机
54541,what-all,什么--全部
54542,sea-run,海上航行
54543,nicker,尼克
54544,bleeping,嘟嘟声
54545,ecclesiastic,教会的
54546,soul-food,心灵食粮
54547,convoy,车队
54548,plyometrics,倍速测量学
54549,steroidal,类固醇
54550,bible-believing,信奉圣经
54551,shark-fin,鱼翅
54552,grotty,格罗蒂
54553,high-current,大电流
54554,general-election,换届选举
54555,supercenter,超级中心
54556,oxidizing,氧化
54557,xylem,木质部
54558,ectoplasm,外质
54559,silting,淤积
54560,kameez,卡米兹
54561,firewater,火水
54562,full-width,全角
54563,eurasian,欧亚大陆
54564,chicle,小鸡
54565,aggro,阿格罗
54566,dual-suspension,双悬架
54567,hyperacusis,听力亢进
54568,microworld,微观世界
54569,sight-singing,视唱
54570,contemporary-art,当代艺术
54571,girl-child,女孩子
54572,papilla,乳头状
54573,social-policy,社会政策
54574,mini-tour,迷你旅游
54575,durian,榴莲
54576,anti-poaching,反偷猎
54577,deceived,被骗了
54578,heli-skiing,直升机滑雪
54579,chasuble,Chasuble
54580,endpaper,终纸
54581,amped-up,放大后的
54582,monoamine,单胺
54583,perkily,兴高采烈地
54584,superglue,强力胶
54585,mind-control,精神控制
54586,non-zero,非零
54587,seldom-seen,鲜为人知
54588,anti-zionist,反犹太复国主义者
54589,high-rated,高评级
54590,crenellation,镶嵌
54591,zero-based,从零开始
54592,abraded,磨损
54593,claque,克拉克
54594,tourist-oriented,以游客为导向
54595,yellow-flowered,黄花
54596,exhumed,挖出的
54597,anti-hispanic,反西班牙裔美国人
54598,lugged,挂起的
54599,creamy-white,奶油白色
54600,scale-model,比例模型
54601,porousness,多孔性
54602,high-sided,一边倒
54603,corrida,科里达
54604,spallation,层裂
54605,clathrate,笼状物
54606,alewife,[医]妻子
54607,audiometer,听力计
54608,bowthruster,BOWTHUSTER
54609,tank-like,像坦克一样
54610,bungler,笨手笨脚
54611,monolithically,铁板一块
54612,two-and-a-half-year,两年半
54613,alcohol-fueled,酒精燃料
54614,white-shoe,白鞋
54615,newly-minted,新造的
54616,swallowing,吞咽
54617,ten-foot-high,十英尺高
54618,never-used,从未使用过
54619,navel-gazing,凝视肚脐
54620,hand-shaped,手形
54621,wanderer,漫游者
54622,heart-bypass,心脏搭桥术
54623,slowed-down,减速--减速
54624,trumpeted,大肆宣扬
54625,unstinting,不吝啬
54626,homiletic,说教
54627,educating,教育
54628,roping,套索
54629,nondoctoral,非道德式
54630,spectrophotometer,分光光度计
54631,multiple-regression,多元回归
54632,eco-conscious,环保意识
54633,(wat),(瓦特)
54634,ukelele,四弦琴
54635,french-built,法国制造
54636,autoclave,高压灭菌器
54637,atomically,原子地
54638,gas-fueled,燃气的
54639,planing,滑行
54640,cow-like,像牛一样
54641,papermaker,造纸商
54642,single-vehicle,单车
54643,sprit,精灵
54644,faith-filled,满怀信仰
54645,coatroom,衣帽间
54646,emergency-response,应急响应
54647,half-second,半秒
54648,retching,干燥症
54649,transfused,输血
54650,open-cell,开放单元格
54651,ratcheting,棘轮
54652,quibbling,吹毛求疵
54653,overdub,超音量
54654,cackling,咯咯地笑
54655,prosopopoeia,Prosopoeia
54656,parapsychological,心理超心理
54657,peristyle,柱廊
54658,packrat,包装率
54659,corseted,紧身胸衣
54660,relearning,再学习
54661,steep-walled,陡壁
54662,stop-smoking,戒烟
54663,foot-deep,一英尺深
54664,blue-tiled,蓝瓷砖
54665,systematized,系统化
54666,moulding,模塑
54667,black-tipped,黑头
54668,chuckling,咯咯地笑
54669,somberness,忧郁
54670,grant-making,赠款发放
54671,(surrey),(萨里郡)
54672,power-generation,发电
54673,spoked,Sposted
54674,comestibles,食品类
54675,windsurf,风帆冲浪
54676,gendarmerie,宪兵队
54677,ninth-largest,第九大
54678,educating,教育
54679,regenerate,重新生成
54680,three-sixty,三百六十美元
54681,hand-dug,手工挖掘
54682,steam-driven,蒸汽驱动
54683,noir-ish,黑乎乎的
54684,semiannually,每半年一次
54685,half-burned,半途而废
54686,purgative,通便药
54687,inch-high,英寸高
54688,snot-nosed,鼻涕虫
54689,passed-out,昏倒了
54690,custom-fitted,定制安装
54691,knowledgable,见多识广
54692,oft-maligned,经常被诽谤
54693,bacteriologist,细菌学家
54694,short-course,短期课程
54695,bolognese,博洛尼亚香肠
54696,macrocosmic,宏观的
54697,officiant,主讲人
54698,small-boat,小艇
54699,(cro-magnon),(CRO-Magnon)
54700,no-kill,不杀
54701,phenylketonuria,苯丙酮尿症
54702,(macarena),(马卡雷纳)
54703,work-site,工作现场
54704,slobbery,流口水
54705,spring-summer,春夏
54706,dolmen,多尔门
54707,loaned,已借出
54708,quality-assurance,质量保证
54709,second-place,第二名
54710,voltaic,伏特加
54711,steamiest,最火辣的
54712,jingling,叮当作响
54713,vending,自动售货机
54714,demesne,德姆斯内
54715,validating,正在验证
54716,social-justice,社会正义
54717,sniveling,抽泣
54718,overwater,水过多
54719,hydroponically,水培
54720,chayote,查约特
54721,jaybird,Jaybird
54722,securing,确保安全
54723,state-dominated,国家主导
54724,thumb-size,拇指大小
54725,time-delay,时延
54726,rosicrucian,玫瑰十字花科
54727,subornation,颠倒黑白
54728,interpellate,跨页码
54729,photo-realism,照片现实主义
54730,tike,Tike
54731,possessory,占有权
54732,attitude-behavior,态度--行为
54733,transposable,可转座的
54734,e-discovery,电子发现
54735,pascalian,帕斯卡利亚
54736,orphic,奥菲
54737,bloop,布洛普
54738,sidelock,SIDELOCK
54739,green-black,绿黑相间
54740,gamboge,加姆博格
54741,hierarch,等级制度
54742,upper-caste,高种姓
54743,oaky,橡木味
54744,moist-looking,看起来湿润的
54745,unknowability,不可知性
54746,pauperization,贫困化
54747,aggressivity,攻击性
54748,(antero-lateral),(前侧)
54749,regenerate,重新生成
54750,fogey,迷雾
54751,transplanting,移栽
54752,post-classical,后古典主义
54753,small-school,小规模学校
54754,castilian,卡斯蒂利亚人
54755,anti-bias,反偏见
54756,acoustician,声学家
54757,fore/aft,前部/后部
54758,fast-running,快速奔跑
54759,industrial-sized,工业规模
54760,high-salaried,高薪人士
54761,rehashing,重新散列
54762,matured,成熟
54763,locker-room,更衣室
54764,campus-like,校园式的
54765,destined,命中注定
54766,learnable,可学习的
54767,seamlessness,无缝连接
54768,readdress,重新装扮
54769,half-jewish,半个犹太人
54770,coincidently,巧合的是
54771,cobwebbed,布满蜘蛛网
54772,imprudently,轻率地
54773,gruelling,令人精疲力竭
54774,once-famous,曾经出名的
54775,miserliness,吝啬
54776,mistaking,弄错了
54777,fattened,变肥了
54778,testiness,烦躁
54779,boundlessly,无限
54780,church-like,像教堂一样
54781,spaced-out,隔开的
54782,screamingly,尖叫着
54783,corrugation,波纹
54784,control-group,对照组
54785,primitively,初步地
54786,dropcloth,滴水布
54787,moonie,穆妮
54788,truth-value,真理价值
54789,colloid,胶体
54790,mycenaean,迈锡尼
54791,location-based,基于位置的
54792,epoch-making,划时代的
54793,immunologically,免疫学
54794,three-hole,三孔
54795,black-and-gold,黑金相间
54796,gateau,奶油蛋糕
54797,coming-of-age,成年
54798,mummer,木乃伊
54799,customer-driven,以客户为导向
54800,spaz,斯巴兹
54801,much-feared,令人畏惧的
54802,flame-colored,火焰色
54803,orangish,橙色
54804,southeasterly,东南风
54805,measuring,测量
54806,malty,麦芽
54807,non-german,非德语
54808,prewashed,预洗
54809,doorsill,门槛
54810,eyebrow-raising,扬眉吐气
54811,second-most,排名第二的
54812,time-wasting,浪费时间
54813,surveying,测量
54814,fresh-looking,看起来很清新
54815,(midland),(米德兰)
54816,literarily,从字面上讲
54817,undreamed-of,做梦也想不到
54818,french-inspired,灵感源自法国
54819,coffee-shop,咖啡厅
54820,sloshing,晃动
54821,multi-stage,多阶段
54822,bathos,浴缸
54823,once-white,曾经是白色的
54824,thai-style,泰式风格
54825,athletic-looking,看起来很健壮
54826,three-pointer,三分球
54827,restaurant-style,餐饮式
54828,knockabout,绕圈子
54829,fifty-ninth,五十九位
54830,dandle,Dandle
54831,still-active,仍处于活动状态
54832,ranger-led,Ranger-LED
54833,stitchery,缝纫
54834,twenty-plus,二十多岁
54835,no-slip,防滑
54836,clumping,成束
54837,bigger-than-life,超凡脱俗
54838,feelingly,感情用事
54839,judaeo-christian,犹太教--基督徒
54840,income-oriented,以收入为导向
54841,sociobiological,社会生物学
54842,quantize,量化
54843,cryonic,冷冻机
54844,(redd),(Redd)
54845,tumescent,肿胀
54846,overpass,立交桥
54847,approachability,平易近人
54848,modern-looking,看起来很现代
54849,face-framing,人脸取景
54850,restocking,重新进货
54851,epigone,追随者
54852,camomile,洋甘菊
54853,unembellished,原封不动
54854,phragmite,芦荟石
54855,sixteen-year,十六年
54856,tut,图腾
54857,(sultana),(苏丹娜)
54858,hematopoietic,造血术
54859,pro-german,亲德派
54860,patrilocal,PATRILOCAL
54861,unfreedom,不自由
54862,venture-backed,风投支持
54863,fluorescein,荧光素
54864,devourer,吞噬者
54865,red-flowered,红花盛开
54866,rhodium,Rhodium
54867,anti-skid,防滑
54868,grazed,放牧
54869,wrinkling,起皱
54870,curation,策展
54871,restorationist,修复师
54872,suiter,套头鞋
54873,oligonucleotide,寡核苷酸
54874,tessitura,三叶草
54875,supersymmetric,超对称
54876,euonymus,卫矛属
54877,water-level,水位
54878,comprehensibility,可理解性
54879,principal-agent,委托代理
54880,blub,低沉的
54881,radial-velocity,径向速度
54882,bait-and-switch,诱饵和交换
54883,gatekeeping,把关
54884,chi-chi,《奇志》
54885,boarding-school,寄宿学校
54886,metonymical,转喻
54887,guidescope,GUIDESCOPE
54888,vichyssoise,维修索斯
54889,li-ion,锂离子
54890,turbojet,涡轮喷气发动机
54891,half-cocked,半途而废
54892,pyromaniac,纵火狂
54893,high-living,奢华的生活
54894,bone-thin,骨瘦如柴
54895,bloody-minded,心血来潮
54896,carry-over,结转
54897,rubbernecker,鲁伯内克
54898,cross-platform,跨平台
54899,weed-grown,杂草种植
54900,sophism,诡辩
54901,now-forgotten,现在--被遗忘
54902,two-horse,两匹马
54903,museum-like,像博物馆一样
54904,precipitately,突然地
54905,half-serious,半严重
54906,drive-time,驾车时间
54907,unruliness,不守规矩
54908,power-mad,权力狂热
54909,brown-paper,牛皮纸
54910,cheekily,厚颜无耻
54911,near-identical,近乎完全相同
54912,craftswoman,女手艺人
54913,productivity-enhancing,提高生产力
54914,meagerly,微薄的
54915,sun-faded,日光褪色
54916,adult-sized,成人大小
54917,generations-old,世世代代
54918,energy-hungry,能源饥渴
54919,fastest-rising,上升最快的
54920,tear-filled,泪流满面
54921,unmatchable,无与伦比
54922,rearmost,最后面
54923,upper-crust,上流社会
54924,persevering,坚持不懈
54925,not-so-young,不是那么年轻
54926,end-of-summer,夏末
54927,thatch-roofed,茅草屋顶
54928,bumper-sticker,保险杠贴纸
54929,grandiosely,宏伟壮观
54930,operating-room,手术室
54931,strategical,具有战略意义
54932,ship-to-shore,船到岸
54933,trenchantly,犀利地
54934,fumbled,笨手笨脚
54935,folderol,Folderol
54936,ever-vigilant,时刻保持警惕
54937,self-discovery,自我发现
54938,superstitiously,迷信地
54939,oft-used,常用
54940,river-bottom,河底
54941,first-best,首屈一指
54942,ice-bound,被冰封住
54943,indissolubly,不解之缘
54944,guillotine,断头台
54945,bunker-like,像沙坑一样
54946,frog-like,像青蛙一样
54947,clean-water,净水
54948,fifty-odd,五十多个
54949,spinsterhood,老处女
54950,bullfinch,牛翅雀
54951,five-six,五尺六寸
54952,coffin-like,像棺材一样
54953,stock-car,股份车
54954,late-1970s,20世纪70年代末
54955,flameproof,隔爆型
54956,upstroke,向上划水
54957,helpmeet,帮助会议
54958,weaned,断奶
54959,blood-vessel,血管
54960,evicted,被逐出
54961,wrongfulness,不法性
54962,(bibb),(Bibb)
54963,three-foot-tall,三英尺高
